stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,is_hub,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route
42482,2,0.0002390057361376673,0.026562321233606176,0.0024589705209999225,True,John Garland Blvd at Jamestown Cres East,43.733749,-79.582677,False,1,96,
10139,2,0.0002390057361376673,0.025943892863836755,0.002354393014127686,True,Kipling Station,43.735359,-79.578514,True,1,96,
4078,15,0.0017925430210325047,0.044695619141320336,0.0018994035633219436,True,Wilson Station,43.734777,-79.451045,True,1,96,
9053,2,0.0002390057361376673,0.035778523256926306,0.0002994128211820165,True,Millwood Rd at McRae Dr,43.704797,-79.367852,False,1,156,
42617,2,0.0002390057361376673,0.035563251187693615,0.00025334891934543623,True,McRae Dr at Rumsey Rd,43.706958,-79.36755,False,1,156,
10398,2,0.0002390057361376673,0.035893167390192826,0.0002682885631843271,True,McRae Dr at Sutherland Dr,43.70842,-79.365512,False,1,156,
1435,2,0.0002390057361376673,0.03692658373504099,0.0002633207993552203,True,Brentcliffe Rd at Vanderhoof Ave,43.712925,-79.359157,False,1,156,
43143,2,0.0002390057361376673,0.035635786734891504,0.00015575536371520595,True,Wicksteed Ave at Copeland St,43.71202,-79.354155,False,1,156,
4411,2,0.0002390057361376673,0.04211022452796156,0.0011137882653328673,True,Eglinton Station,43.698177,-79.438962,True,2,"109,164",
8376,3,0.0003585086042065009,0.04042606066468857,0.0010361021173706348,True,Marlee Ave at Whitmore Ave,43.699828,-79.440014,False,2,"109,164",
8042,2,0.0002390057361376673,0.03885511928914575,0.0002515716205776782,True,Marlee Ave at Roselawn Ave,43.702027,-79.440878,False,1,109,
8361,2,0.0002390057361376673,0.03740405337406534,0.00013233903451110145,True,Marlee Ave at Ridelle Ave,43.703758,-79.441573,False,1,109,
5108,2,0.0002390057361376673,0.03642290663698685,6.35028469943833e-05,True,Marlee Ave at Stayner Ave,43.705048,-79.4421,False,1,109,
7821,2,0.0002390057361376673,0.036357124319250665,6.263267826552158e-05,True,Marlee Ave at Viewmount Ave,43.706986,-79.442835,False,1,109,
4947,2,0.0002390057361376673,0.036800541082855506,0.00011893154662681566,True,Glencairn Station,43.708894,-79.443657,True,1,109,
1185,2,0.0002390057361376673,0.03804643954699118,0.00022649698226682996,True,Marlee Ave at Glengrove Ave North Side,43.711157,-79.444575,False,1,109,
2507,2,0.0002390057361376673,0.03954765029055051,0.000346014132977957,True,Marlee Ave at Elway Crt,43.712336,-79.445054,False,1,109,
